,tweet_text,tweet_id,retweets,favorites,date,adj,fav_to_follower_ratio,retweet_to_follower_ratio,question,answer_a,answer_b,Prediction_A,Prediction_B,Dif_Scores_A.B
0,tweet_text,tweet_id,retweets,favorites,date,adj,fav_to_follower_ratio,retweet_to_follower_ratio,question,answer_a,answer_b,0.3973909318447113,0.6026090979576111,-0.20521816611289978
1,@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,creative,-9.101142914967003,-11.843205046547629,How can this statement be described?,creative,not creative,0.07375423610210419,0.9262458086013794,-0.852491557598114
2,@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,adventurous,-9.101142914967003,-11.843205046547629,How can this statement be described?,adventurous,not adventurous,0.037147972732782364,0.9628520607948303,-0.9257040619850159
3,@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,generous,-9.101142914967003,-11.843205046547629,How can this statement be described?,generous,not generous,0.009321287274360657,0.9906787276268005,-0.9813574552536011
4,@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,decisive,-9.101142914967003,-11.843205046547629,How can this statement be described?,decisive,not decisive,0.09288903325796127,0.9071109294891357,-0.8142219185829163
5,@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,diplomatic,-9.101142914967003,-11.843205046547629,How can this statement be described?,diplomatic,not diplomatic,0.007588875479996204,0.9924111366271973,-0.9848222732543945
6,@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,affectionate,-9.101142914967003,-11.843205046547629,How can this statement be described?,affectionate,not affectionate,0.005375598557293415,0.9946243166923523,-0.9892486929893494
7,@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,hardworking,-9.101142914967003,-11.843205046547629,How can this statement be described?,hardworking,not hardworking,0.465786337852478,0.5342136025428772,-0.06842726469039917
8,@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,observant,-9.101142914967003,-11.843205046547629,How can this statement be described?,observant,not observant,0.8469530344009399,0.15304698050022125,0.6939060688018799
9,@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,helpful,-9.101142914967003,-11.843205046547629,How can this statement be described?,helpful,not helpful,0.8710482716560364,0.12895174324512482,0.7420965433120728
10,@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,optimistic,-9.101142914967003,-11.843205046547629,How can this statement be described?,optimistic,not optimistic,0.9998494386672974,0.00015056238044053316,0.9996988773345947
11,@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,honest,-9.101142914967003,-11.843205046547629,How can this statement be described?,honest,not honest,0.009975683875381947,0.9900243282318115,-0.980048656463623
12,@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,funny,-9.101142914967003,-11.843205046547629,How can this statement be described?,funny,not funny,0.003475022269412875,0.99652498960495,-0.9930499792098999
13,@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,amusing,-9.101142914967003,-11.843205046547629,How can this statement be described?,amusing,not amusing,0.08285757899284363,0.917142391204834,-0.834284782409668
14,@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,calm,-9.101142914967003,-11.843205046547629,How can this statement be described?,calm,not calm,0.018676290288567543,0.9813236594200134,-0.9626473784446716
15,@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,polite,-9.101142914967003,-11.843205046547629,How can this statement be described?,polite,not polite,0.0008680740720592439,0.999131977558136,-0.9982638955116272
16,@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,charismatic,-9.101142914967003,-11.843205046547629,How can this statement be described?,charismatic,not charismatic,0.0552937388420105,0.9447062611579895,-0.889412522315979
17,@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,romantic,-9.101142914967003,-11.843205046547629,How can this statement be described?,romantic,not romantic,0.0015716584166511893,0.9984283447265625,-0.996856689453125
18,@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,friendly,-9.101142914967003,-11.843205046547629,How can this statement be described?,friendly,not friendly,0.008145893923938274,0.9918540716171265,-0.9837082028388977
19,@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,clever,-9.101142914967003,-11.843205046547629,How can this statement be described?,clever,not clever,0.8988496661186218,0.10115028917789459,0.7976993918418884
20,@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,compassionate,-9.101142914967003,-11.843205046547629,How can this statement be described?,compassionate,not compassionate,0.030816664919257164,0.9691832661628723,-0.9383665919303894
21,@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,aggressive,-9.101142914967003,-11.843205046547629,How can this statement be described?,aggressive,not aggressive,0.7169908285140991,0.2830090820789337,0.4339817464351654
