tweet,retweet_score,retweet_ln,joy,others,surprise,anger,fear,sadness,disgust
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,-12.618882407059015,5.814130531825066,0.01761920191347599,0.8057851195335388,0.04851844534277916,0.015596874989569187,0.026372000575065613,0.07362749427556992,0.01248099934309721
"Sock Con, the conference for socks",-11.153004202005445,7.280008252884188,0.07976508140563965,0.8592022657394409,0.04445117339491844,0.0021522953175008297,0.0055446443147957325,0.005646423902362585,0.003238177625462413
Always something new for the magazine cover and the articles practically write themselves,-11.275276970639727,7.157735484249907,0.017492100596427917,0.8777663707733154,0.03980891406536102,0.018847664818167686,0.012385332025587559,0.02102222852408886,0.012677349150180817
@user This guy gets it,-13.557815131688482,4.875197323201151,0.5233367681503296,0.3223031163215637,0.10755442827939987,0.01292429119348526,0.011875021271407604,0.011045927181839943,0.010960361920297146
Sock tech is so advanced that you can get pretty much anything in sock form these days!,-11.350463885534333,7.0825485693553,0.20372600853443146,0.7411763668060303,0.028459765017032623,0.00688489805907011,0.007362484000623226,0.007737751118838787,0.004652669653296471
I must confess to a penchant for creative socks,-9.948549088096314,8.48446336679332,0.013067983090877533,0.8955180644989014,0.04413314908742905,0.0052910796366631985,0.021426549181342125,0.013991969637572765,0.0065712169744074345
@user It’s time,-11.095424711351036,7.337587743538596,0.25100672245025635,0.4750925898551941,0.1004774197936058,0.04179617017507553,0.02366200089454651,0.07985924929380417,0.028105948120355606
"@user @user His success was in fact due, in part, because he was super fun at parties, spoke and wrote incredibly well!",-13.291348898386973,5.14166355650266,0.7173951268196106,0.21798068284988403,0.02428595907986164,0.015398557297885418,0.003441270673647523,0.013576497323811054,0.007921963930130005
"@user While bleak posts maybe generate more clicks, more happier moments in history would be nice",-10.67211925903861,7.760893195851024,0.2926013469696045,0.6309857368469238,0.024695221334695816,0.007070739287883043,0.008100761100649834,0.02876078523695469,0.0077853272669017315
@user @user Supporting Doge wherever possible,-10.793081322550362,7.640603826393634,0.1748497039079666,0.7009104490280151,0.04376577213406563,0.020186373963952065,0.010132081806659698,0.03518611565232277,0.014969506300985813
"Moon brought us together in ‘69,
Mars can do that in the future",-9.523909485121406,8.909775673693389,0.11585558205842972,0.7758313417434692,0.04150007665157318,0.003771528834477067,0.013175471685826778,0.04566559940576553,0.004200446885079145
"Without a common goal, 
humanity will fight itself",-9.26302160399151,9.170663554823284,0.006474692840129137,0.863376796245575,0.022159608080983162,0.01531511452049017,0.0139917666092515,0.07340733706951141,0.00527467206120491
@user Exactly,-13.207938485101593,5.225746673713202,0.19862022995948792,0.40652191638946533,0.10534952580928802,0.09795790165662766,0.03553815931081772,0.1009959876537323,0.05501636490225792
@user @user Can you say more about this: “… pressures that the government may have placed on Twitter …”,-9.99423731602341,8.439447842791385,0.0033752410672605038,0.8943384289741516,0.04487099498510361,0.00550239160656929,0.027065318077802658,0.01613408699631691,0.0087134325876832
Humanity will reach Mars in your lifetime,-7.639286222743908,10.794398936070886,0.15660224854946136,0.724242627620697,0.03330392763018608,0.00938931293785572,0.015613793395459652,0.054332464933395386,0.006515663582831621
Flatulence Earther,-9.691270576289382,8.742414582525413,0.02869974449276924,0.828651487827301,0.058854520320892334,0.023323170840740204,0.011094377376139164,0.034980323165655136,0.014396445825695992
@user @user Maybe later this year,-13.339934958008032,5.093750200806762,0.047754861414432526,0.7876017689704895,0.055835507810115814,0.01895386539399624,0.010851689614355564,0.06631308794021606,0.012689258903265
@user Zip around Vegas super fast with Teslas in tunnels!,-11.816282180840316,6.617402977974478,0.15322630107402802,0.708556056022644,0.07792940735816956,0.010505298152565956,0.023628931492567062,0.015478233806788921,0.010675790719687939
"@user Structural pack is the right overall architecture from a physics standpoint, but it is still far from optimized",-11.926407446429783,6.507277712385012,0.01669200509786606,0.8763959407806396,0.0285611804574728,0.022412076592445374,0.01243612077087164,0.0354761928319931,0.008026503957808018
"@user Also, being ruggedized for relentless salt spray &amp; extreme winds &amp; storms in deep ocean is not easy",-12.893341790118317,5.541263545158426,0.01931760087609291,0.5649235248565674,0.03515833988785744,0.15997421741485596,0.045161522924900055,0.14104759693145752,0.03441717103123665
"@user No, it’s dual, high performance terminals, which are important for maintaining the connection in choppy seas &amp; heavy storms.

Still obv premium pricing, but way cheaper &amp; faster than alternatives.

SpaceX was paying $150k/month for a much worse connection to our ships!",-12.064704352448516,6.369900982828227,0.05899015814065933,0.6384304165840149,0.028284696862101555,0.15437324345111847,0.011260323226451874,0.08380173146724701,0.024859290570020676
"@user A flying, electric boat would be sickkk",-12.323137995774065,6.111467339502679,0.04998442530632019,0.543901264667511,0.22713956236839294,0.041030820459127426,0.0630650594830513,0.049223918467760086,0.025654897093772888
Starlink for boats! http,-9.408428214973886,9.026177120302856,0.09908059239387512,0.865021288394928,0.02300814352929592,0.0026821435894817114,0.004020825494080782,0.0032842587679624557,0.0029029014986008406
"@user Not bad! 

It is high time that the future looked like the future.

Same goes for fashion.",-12.460795723407482,5.973809611869261,0.13859309256076813,0.8238711953163147,0.01814165525138378,0.0018670092104002833,0.0023602312430739403,0.013171420432627201,0.0019952936563640833
"@user @user @user Pretty much. A van would have more roof height, so you could stand or sit under it for shade.",-12.817834237610171,5.616771097666572,0.031564779579639435,0.8286330103874207,0.04045376926660538,0.04033094272017479,0.014920287765562534,0.0278178583830595,0.016279425472021103
